Wall time,Step,Value
1702904593.179532,122880,0.15685346722602844
1702904617.5192943,163840,0.0780029222369194
1702904765.604217,409600,0.0032974989153444767
1702904860.3001873,573440,0.0008715540170669556
1702904885.19929,614400,0.0009156069718301296
1702904957.6319263,737280,0.0007403856725431979
1702904981.922945,778240,0.000581984524615109
1702905004.7907662,819200,0.0006587221869267523
1702905051.955879,901120,0.00038512315950356424
1702905075.7307749,942080,0.000707636121660471
1702905147.595067,1064960,0.0005754422745667398
1702905171.863513,1105920,0.0005232824478298426
1702905435.047801,1556480,0.0037393902894109488
1702905482.1725833,1638400,0.0014661531895399094
1702905632.8962681,1925120,0.00046781590208411217
1702905651.7118638,1966080,0.0003093177219852805
1702905670.4126956,2007040,0.00033049104968085885
1702905708.326255,2088960,0.0005698380991816521
1702905764.5446446,2211840,0.0005761805805377662
1702905820.9342873,2334720,0.00158761627972126
1702905877.4779916,2457600,0.0018120264867320657
1702905896.227586,2498560,0.002100104931741953
1702905915.0676823,2539520,0.003866747720167041
1702905933.8490345,2580480,0.004310982767492533
1702905971.44309,2662400,0.004472057335078716
1702905990.2971225,2703360,0.0036912919022142887
1702906008.8823283,2744320,0.005642154719680548
1702906027.5597672,2785280,0.0036746764089912176
1702906065.0526285,2867200,0.005718096625059843
1702906083.7956343,2908160,0.005396092776209116
1702906196.1904328,3153920,0.01249151211231947
1702906233.8176918,3235840,0.004092965740710497
1702906289.98758,3358720,0.0016631067264825106
1702906346.138518,3481600,0.000990898348391056
1702906421.0106423,3645440,0.001782385865226388
1702906608.3748415,4055040,0.0002795940381474793
1702906627.125331,4096000,0.00029203007579781115
1702906683.2792087,4218880,0.0002162940800189972
1702906739.2406583,4341760,0.00048785656690597534
1702906757.967295,4382720,0.00019497351604513824
1702906795.4577157,4464640,0.00014705791545566171
1702906926.0009346,4751360,0.0001564218255225569
1702907019.563378,4956160,0.00017123004363384098
1702907094.4582849,5120000,6.649144779657945e-05
1702907113.2819831,5160960,0.00011632317182375118
1702907150.7333593,5242880,9.184466762235388e-05
1702907188.1431692,5324800,9.940146992448717e-05
1702907206.881272,5365760,0.00021009836927987635
1702907300.5951443,5570560,0.00014520451077260077
1702907319.3744638,5611520,0.0001491486036684364
1702907450.9356773,5898240,0.00019239062385167927
1702907488.5960202,5980160,0.0001815742434700951
1702907507.2413435,6021120,0.00026666492340154946
1702907563.345574,6144000,0.0021851644851267338
1702907694.7065172,6430720,0.000153438319102861
1702907750.9881372,6553600,0.00013925628445576876
1702907788.2986326,6635520,0.00012250643339939415
1702907825.6947062,6717440,0.00012577685993164778
1702907937.9899995,6963200,8.090224582701921e-05
1702907956.6142516,7004160,8.319068001583219e-05
1702907975.3772464,7045120,4.9604092055233195e-05
1702908031.5369081,7168000,7.756379636703059e-05
1702908050.141518,7208960,3.73001785192173e-05
1702908068.820251,7249920,3.193313386873342e-05
1702908143.7801833,7413760,5.1556049584178254e-05
