Wall time,Step,Value
1702913812.094645,19783680,1.2043875585732167e-07
1702913887.1419904,19947520,1.0359650026714462e-08
1702913924.5783226,20029440,1.0359650026714462e-08
1702913943.4296951,20070400,1.0359650026714462e-08
1702913962.1943803,20111360,1.0359650026714462e-08
1702913999.532683,20193280,1.0359650026714462e-08
1702914074.3808334,20357120,1.0359650026714462e-08
1702914093.092836,20398080,1.0359650026714462e-08
1702914168.1120408,20561920,1.0359650026714462e-08
1702914186.7558396,20602880,1.0359650026714462e-08
1702914224.0706608,20684800,1.0359650026714462e-08
1702914261.6235929,20766720,1.0359650026714462e-08
1702914336.6496232,20930560,1.0359650026714462e-08
1702914355.3602123,20971520,1.0359650026714462e-08
1702914411.7707503,21094400,1.0359650026714462e-08
1702914430.6443965,21135360,1.0359650026714462e-08
1702914449.3628864,21176320,1.0359650026714462e-08
1702914468.3580968,21217280,1.0359650026714462e-08
1702914505.9960644,21299200,1.0359650026714462e-08
1702914524.746151,21340160,1.0359650026714462e-08
1702914580.8178635,21463040,4.650588181220883e-08
1702914599.559595,21504000,4.650588181220883e-08
1702914618.295881,21544960,4.650588181220883e-08
1702914655.6927474,21626880,4.650588181220883e-08
1702914711.5750341,21749760,4.650588181220883e-08
1702914786.5298765,21913600,4.650588181220883e-08
1702914861.7256267,22077440,4.650588181220883e-08
1702914880.402691,22118400,4.650588181220883e-08
1702914936.912881,22241280,4.650588181220883e-08
1702914993.1869414,22364160,4.650588181220883e-08
1702915011.7898629,22405120,4.650588181220883e-08
1702915030.6051679,22446080,4.650588181220883e-08
1702915049.2899826,22487040,4.650588181220883e-08
1702915067.9836938,22528000,4.650588181220883e-08
1702915086.786095,22568960,4.650588181220883e-08
1702915143.10997,22691840,4.650588181220883e-08
1702915161.7459614,22732800,4.650588181220883e-08
1702915180.5078154,22773760,4.650588181220883e-08
1702915199.3175848,22814720,4.650588181220883e-08
1702915255.714794,22937600,4.650588181220883e-08
1702915386.762752,23224320,4.161261111623564e-16
1702915443.0014918,23347200,4.161261111623564e-16
1702915461.7663503,23388160,4.161261111623564e-16
1702915499.037403,23470080,4.161261111623564e-16
1702915517.6382835,23511040,4.161261111623564e-16
1702915536.3558855,23552000,4.161261111623564e-16
1702915573.898633,23633920,4.161261111623564e-16
1702915611.5201879,23715840,4.161261111623564e-16
1702915649.040489,23797760,4.161261111623564e-16
1702915686.4564736,23879680,4.161261111623564e-16
1702915705.1510537,23920640,4.161261111623564e-16
1702915761.1570916,24043520,4.161261111623564e-16
1702915798.8351598,24125440,4.161261111623564e-16
1702915854.9626274,24248320,4.161261111623564e-16
1702915873.6828005,24289280,4.161261111623564e-16
1702915985.7711084,24535040,4.361410104597452e-12
1702916004.343446,24576000,4.361410104597452e-12
1702916023.2021427,24616960,4.361410104597452e-12
1702916098.020549,24780800,4.361410104597452e-12
1702916154.396977,24903680,4.361410104597452e-12
1702916191.9323123,24985600,4.361410104597452e-12
1702916247.982236,25108480,4.361410104597452e-12
1702916322.9692597,25272320,4.361410104597452e-12
1702916398.0683413,25436160,4.361410104597452e-12
1702916416.8511884,25477120,4.361410104597452e-12
1702916435.5990684,25518080,4.361410104597452e-12
1702916473.0422482,25600000,4.361410104597452e-12
1702916510.6265383,25681920,4.361410104597452e-12
1702916529.4463496,25722880,4.361410104597452e-12
1702916548.2345,25763840,4.361410104597452e-12
1702916585.5442286,25845760,4.361410104597452e-12
1702916622.9551253,25927680,4.361410104597452e-12
1702916660.5405982,26009600,4.361410104597452e-12
1702916679.2066987,26050560,4.361410104597452e-12
1702916736.0406923,26173440,3.8523069179063896e-07
1702916754.7550175,26214400,3.8523069179063896e-07
1702916848.4061017,26419200,3.8523069179063896e-07
1702916885.7660933,26501120,3.8523069179063896e-07
1702916942.435264,26624000,3.8523069179063896e-07
1702916961.2660372,26664960,3.8523069179063896e-07
1702916998.7710202,26746880,3.8523069179063896e-07
1702917036.6239145,26828800,3.8523069179063896e-07
1702917074.172967,26910720,3.8523069179063896e-07
1702917111.840518,26992640,3.8523069179063896e-07
1702917130.5410984,27033600,3.8523069179063896e-07
1702917186.8689053,27156480,3.8523069179063896e-07
1702917224.1321614,27238400,3.8523069179063896e-07
1702917242.9132586,27279360,3.8523069179063896e-07
1702917317.9179666,27443200,3.8523069179063896e-07
1702917393.0531785,27607040,3.2790921977721155e-07
1702917449.3428257,27729920,3.2790921977721155e-07
1702917468.1109517,27770880,3.2790921977721155e-07
1702917486.8501537,27811840,3.2790921977721155e-07
1702917505.7496638,27852800,3.2790921977721155e-07
1702917524.5452347,27893760,3.2790921977721155e-07
1702917618.3021832,28098560,3.2790921977721155e-07
1702917655.6378949,28180480,3.2790921977721155e-07
1702917674.412361,28221440,3.2790921977721155e-07
1702917693.348108,28262400,3.2790921977721155e-07
1702917712.0640547,28303360,3.2790921977721155e-07
1702917730.6283681,28344320,3.2790921977721155e-07
1702917786.9187033,28467200,3.2790921977721155e-07
1702917824.3970368,28549120,3.2790921977721155e-07
1702917956.098901,28835840,3.2790921977721155e-07
1702918012.545936,28958720,3.2790921977721155e-07
1702918106.3309019,29163520,6.047223832794657e-10
1702918125.0664656,29204480,6.047223832794657e-10
1702918143.7339656,29245440,6.047223832794657e-10
1702918199.7800899,29368320,6.047223832794657e-10
1702918237.3006768,29450240,6.047223832794657e-10
1702918256.0196168,29491200,6.047223832794657e-10
1702918274.7683215,29532160,6.047223832794657e-10
1702918330.7343473,29655040,6.047223832794657e-10
1702918424.5851216,29859840,6.047223832794657e-10
1702918462.318731,29941760,6.047223832794657e-10
1702918499.6341314,30023680,6.047223832794657e-10
1702918518.3345025,30064640,6.047223832794657e-10
1702918555.6518679,30146560,6.047223832794657e-10
1702918611.7054775,30269440,6.047223832794657e-10
1702918630.6670856,30310400,6.047223832794657e-10
1702918668.2856297,30392320,6.047223832794657e-10
1702918743.1524143,30556160,6.047223832794657e-10
1702918762.0305738,30597120,6.047223832794657e-10
1702918799.5643828,30679040,9.523824090473809e-11
1702918855.7106893,30801920,9.523824090473809e-11
1702918893.0224779,30883840,9.523824090473809e-11
1702918949.1135643,31006720,9.523824090473809e-11
1702918967.876491,31047680,9.523824090473809e-11
1702919005.2324631,31129600,9.523824090473809e-11
1702919042.8082485,31211520,9.523824090473809e-11
1702919061.512231,31252480,9.523824090473809e-11
1702919099.1648624,31334400,9.523824090473809e-11
1702919118.017065,31375360,9.523824090473809e-11
1702919155.5377865,31457280,9.523824090473809e-11
1702919174.2548957,31498240,9.523824090473809e-11
1702919193.1967998,31539200,9.523824090473809e-11
1702919287.2989717,31744000,9.523824090473809e-11
1702919362.6476212,31907840,9.523824090473809e-11
1702919381.2961211,31948800,9.523824090473809e-11
1702919400.5669606,31989760,9.523824090473809e-11
1702919625.886631,32481280,1.6540457892233462e-10
1702919663.4795787,32563200,1.6540457892233462e-10
1702919775.8080227,32808960,1.6540457892233462e-10
1702919794.6139097,32849920,1.6540457892233462e-10
1702919851.0560904,32972800,1.6540457892233462e-10
1702919869.942977,33013760,1.6540457892233462e-10
1702919926.0063827,33136640,1.6540457892233462e-10
1702919982.0659635,33259520,1.6540457892233462e-10
1702920000.8347893,33300480,1.6540457892233462e-10
1702920038.130635,33382400,1.6540457892233462e-10
1702920057.101686,33423360,1.6540457892233462e-10
1702920075.798391,33464320,1.6540457892233462e-10
1702920094.4828274,33505280,1.6540457892233462e-10
1702920113.2089229,33546240,1.6540457892233462e-10
1702920225.8702412,33792000,3.9991312483778074e-09
1702920281.9790943,33914880,3.9991312483778074e-09
1702920432.1520765,34242560,3.9991312483778074e-09
1702920525.988967,34447360,3.9991312483778074e-09
1702920544.7361994,34488320,3.9991312483778074e-09
1702920563.5586803,34529280,3.9991312483778074e-09
1702920582.1422107,34570240,3.9991312483778074e-09
1702920638.1024654,34693120,3.9991312483778074e-09
1702920787.6270027,35020800,3.9991312483778074e-09
1702920806.3023605,35061760,3.9991312483778074e-09
1702920956.8345249,35389440,3.1693858648651485e-10
1702920975.6809633,35430400,3.1693858648651485e-10
1702921050.4350913,35594240,3.1693858648651485e-10
1702921069.092572,35635200,3.1693858648651485e-10
1702921106.7754064,35717120,3.1693858648651485e-10
1702921125.6809103,35758080,3.1693858648651485e-10
1702921144.4456975,35799040,3.1693858648651485e-10
1702921182.1353147,35880960,3.1693858648651485e-10
1702921201.0371387,35921920,3.1693858648651485e-10
1702921257.2923315,36044800,3.1693858648651485e-10
1702921294.6781423,36126720,3.1693858648651485e-10
1702921388.3153903,36331520,3.1693858648651485e-10
1702921407.1182344,36372480,3.1693858648651485e-10
1702921462.9686968,36495360,3.1693858648651485e-10
1702921519.3050005,36618240,3.1693858648651485e-10
1702921575.425667,36741120,3.1693858648651485e-10
1702921612.954805,36823040,7.010120817163568e-10
1702921668.8329175,36945920,7.010120817163568e-10
1702921687.8664339,36986880,7.010120817163568e-10
1702921762.5816374,37150720,7.010120817163568e-10
1702921781.2786999,37191680,7.010120817163568e-10
1702922025.1343477,37724160,7.010120817163568e-10
1702922044.0003903,37765120,7.010120817163568e-10
1702922062.6640353,37806080,7.010120817163568e-10
1702922138.0243683,37969920,7.010120817163568e-10
1702922175.3518848,38051840,7.010120817163568e-10
1702922231.7225842,38174720,7.010120817163568e-10
1702922269.3303647,38256640,7.010120817163568e-10
1702922288.177005,38297600,7.010120817163568e-10
1702922344.3670409,38420480,2.5771232259330645e-08
1702922362.9956522,38461440,2.5771232259330645e-08
1702922456.8242733,38666240,2.5771232259330645e-08
1702922475.5922785,38707200,2.5771232259330645e-08
1702922513.3235793,38789120,2.5771232259330645e-08
1702922532.050971,38830080,2.5771232259330645e-08
1702922588.0724654,38952960,2.5771232259330645e-08
1702922662.9457903,39116800,2.5771232259330645e-08
1702922681.6209633,39157760,2.5771232259330645e-08
1702922719.1775365,39239680,2.5771232259330645e-08
1702922756.9408107,39321600,2.5771232259330645e-08
1702922831.9779587,39485440,2.5771232259330645e-08
1702922850.6598177,39526400,2.5771232259330645e-08
1702922888.2506773,39608320,2.5771232259330645e-08
1702922906.9472091,39649280,2.5771232259330645e-08
1702922925.5688555,39690240,2.5771232259330645e-08
1702922944.281288,39731200,2.5771232259330645e-08
1702922981.8057215,39813120,2.5771232259330645e-08
1702923056.8017812,39976960,3.66000896256935e-09
1702923094.2863297,40058880,3.66000896256935e-09
1702923113.00526,40099840,3.66000896256935e-09
1702923169.3706603,40222720,3.66000896256935e-09
1702923244.2497458,40386560,3.66000896256935e-09
1702923300.4349043,40509440,3.66000896256935e-09
1702923357.0422192,40632320,3.66000896256935e-09
1702923375.9302292,40673280,3.66000896256935e-09
1702923450.8238573,40837120,3.66000896256935e-09
1702923488.5207143,40919040,3.66000896256935e-09
