Wall time,Step,Value
1703173809.3703074,788,43.09882736206055
1703173847.3502178,790,43.09882736206055
1703173866.041506,791,43.09882736206055
1703173884.8892598,792,43.09882736206055
1703173982.2141619,797,43.09882736206055
1703174000.9881165,798,43.09882736206055
1703174019.4203787,799,43.09882736206055
1703174074.465629,802,43.09882736206055
1703174092.9264576,803,43.09882736206055
1703174111.1139703,804,43.09882736206055
1703174147.757979,806,43.09882736206055
1703174166.16499,807,112.453857421875
1703174184.5998228,808,112.453857421875
1703174221.4682562,810,112.453857421875
1703174239.961611,811,112.453857421875
1703174295.253661,814,112.453857421875
1703174313.5156858,815,112.453857421875
1703174332.1288044,816,112.453857421875
1703174350.4995697,817,112.453857421875
1703174369.0117776,818,112.453857421875
1703174424.4129527,821,112.453857421875
1703174442.8350072,822,112.453857421875
1703174479.694216,824,112.453857421875
1703174498.0070992,825,112.453857421875
1703174516.4073622,826,91.64876556396484
1703174534.6907048,827,91.64876556396484
1703174553.151733,828,91.64876556396484
1703174682.037743,835,91.64876556396484
1703174700.335483,836,91.64876556396484
1703174718.6161628,837,91.64876556396484
1703174737.0650015,838,91.64876556396484
1703174755.514514,839,91.64876556396484
1703174773.91619,840,91.64876556396484
1703174810.7808857,842,91.64876556396484
1703174829.1523936,843,91.64876556396484
1703174865.8299396,845,117.93059539794922
1703174921.2974455,848,117.93059539794922
1703174939.6035283,849,117.93059539794922
1703174957.9584432,850,117.93059539794922
1703174976.2154133,851,117.93059539794922
1703175012.8500805,853,117.93059539794922
1703175031.1883273,854,117.93059539794922
1703175049.7444856,855,117.93059539794922
1703175068.042014,856,117.93059539794922
1703175104.9697187,858,117.93059539794922
1703175123.6182196,859,117.93059539794922
1703175160.254264,861,117.93059539794922
1703175197.0940206,863,77.5805435180664
1703175233.5901892,865,77.5805435180664
1703175251.86232,866,77.5805435180664
1703175270.0872748,867,77.5805435180664
1703175288.5072875,868,77.5805435180664
1703175325.1997201,870,77.5805435180664
1703175343.4877343,871,77.5805435180664
1703175380.4837985,873,77.5805435180664
1703175398.8275125,874,77.5805435180664
1703175454.160229,877,77.5805435180664
1703175472.4885767,878,77.5805435180664
1703175564.5321128,883,143.4948272705078
1703175638.1515036,887,143.4948272705078
1703175656.4893348,888,143.4948272705078
1703175711.5889256,891,143.4948272705078
1703175729.8226147,892,143.4948272705078
1703175766.6856315,894,143.4948272705078
1703175785.0628126,895,143.4948272705078
1703175803.423129,896,143.4948272705078
1703175821.7389715,897,143.4948272705078
1703175840.1034157,898,143.4948272705078
1703175858.5729296,899,143.4948272705078
1703175877.197021,900,143.4948272705078
1703175914.0360842,902,31.218055725097656
1703175932.2858105,903,31.218055725097656
1703175950.7941332,904,31.218055725097656
1703176042.8950646,909,31.218055725097656
1703176116.5391076,913,31.218055725097656
1703176135.0506115,914,31.218055725097656
1703176172.0793214,916,31.218055725097656
1703176190.4819868,917,31.218055725097656
1703176208.8116279,918,31.218055725097656
1703176227.2279449,919,125.3403091430664
1703176245.5110857,920,125.3403091430664
1703176282.238422,922,125.3403091430664
1703176318.7175608,924,125.3403091430664
1703176337.0036802,925,125.3403091430664
1703176355.3844125,926,125.3403091430664
1703176373.6268587,927,125.3403091430664
1703176447.483203,931,125.3403091430664
1703176465.7334514,932,125.3403091430664
1703176484.0695384,933,125.3403091430664
1703176502.3478992,934,125.3403091430664
1703176520.8034596,935,125.3403091430664
1703176576.1518598,938,111.51716613769531
1703176649.5851636,942,111.51716613769531
1703176686.7973597,944,111.51716613769531
1703176705.102237,945,111.51716613769531
1703176741.7479267,947,111.51716613769531
1703176760.2445555,948,111.51716613769531
1703176796.9898586,950,121.36947631835938
1703176815.576479,951,121.36947631835938
1703176833.8725643,952,127.79607391357422
1703176870.6513875,954,127.79607391357422
1703176907.5244935,956,127.79607391357422
1703176944.565447,958,7.330438137054443
1703176962.9371822,959,7.330438137054443
1703176981.1699512,960,7.330438137054443
1703177018.14534,962,7.330438137054443
1703177036.6458921,963,7.330438137054443
1703177054.9519172,964,7.330438137054443
1703177073.2556176,965,7.330438137054443
1703177091.7862077,966,7.330438137054443
1703177128.5035613,968,7.330438137054443
1703177146.7713552,969,7.1845622062683105
1703177165.1625042,970,7.1845622062683105
1703177183.7515001,971,14.37978744506836
1703177202.0624592,972,20.94817543029785
1703177220.3381422,973,27.57182502746582
1703177238.754793,974,37.1412353515625
1703177293.4822466,977,15.12105941772461
1703177311.9271593,978,15.12105941772461
1703177330.5518324,979,15.12105941772461
1703177348.7619727,980,15.12105941772461
1703177403.4606333,983,15.12105941772461
1703177458.4427874,986,15.12105941772461
1703177477.1425743,987,14.97193717956543
1703177495.3839407,988,14.82221794128418
1703177532.1621113,990,29.774179458618164
1703177550.4673066,991,29.476436614990234
1703177569.052019,992,53.97484588623047
1703177587.4781268,993,53.97484588623047
